Instruction,Topic
"اكتب ملخّص قصير ومكثّف للورقة بالاعتماد على الملخّص متاعها.
الإدخال:
Few-shot learning (إف إس إل) هو خطوة مهمّة للمستقبل في التعلّم الآلي ويثير اهتمام كبير. في هالبحث، ركّزنا ع مشكلة الإف إس إل في فهم الحوارات، اللي تشمل زوز مهام مترابطين: تحديد النيّة  وتعبئة الخانات . تبيّن إنو فهم الحوارات يتحسّن برشة كي نتعلّمو الزوز مع بعضهم. لكن في سيناريوهات الإف إس إل، التعاون هاذا يصير صعيب: من جهة، قلة الداتا تكبّر صعوبة نمذجة العلاقة بين الزوز، من جهة أخرى كيفاش نتعلّمو مهام متعدّدة مع بعض في الإف إس إل مزال موش واضح برشة. ردًّا ع هالمشكل، قدّمنا FewJoint، أول معيار  خاص بفهم الحوارات المشترك في وضعية الإف إس إل. FewJoint يوفّر كوربوس جديد فيه ٥٩ مجال مختلف من حوارات API صناعي حقيقي، ومنصّة كود باش تسهّل تجارب الإف إس إل، اللي من المتوقّع إنها تحرّك البحث في المجال. زيادة على هذا، لقينا إنو الأداء الضعيف في وضع الإف إس إل ينجم يسبّب تبادل مُشوَّش بين المهمتين ويعطّل التعلّم المشترك. باش نعالجو الموضوع، وجّهنا السلوت  بمعطيات صريحة عن النيّة واستعملنا آلية ""ترست جايتينغ"" جديدة باش نصدّو معلومات النيّة اللي ما فيهاش ثقة كافية ونضمن مشاركة بجودة عالية. زيادة على هذا، استعملنا إستراتيجية ""ربتايل""  في الميتا-ليرننغ باش نضمن تعميم أحسن في الدومينات اللي ماشفناهمش وقت الإف إس إل. في التجارب، الطريقة المقترحة حسّنت النتائج بوضوح ع داتاستين ووصلت لأحسن أداء جديد .",Education & Studying
"باش تكتب نوتيشن ABC (أ بي سي) لاغنية معطاة اسمها ""ذا ساوث ويند"" 
الإدخال:
ذا ساوث ويند",Culture & Entertainment
"صنّف المجلة حسب محتواها في وحدة من التصنيفات: سياسة، أخبار الترفيه
، أخبار التكنولوجيا
، أخبار الأعمال
، الأبوة والأمومة والأطفال، الصحة والشفاء، الطبخ، الطعام والنبيذ، الفنون والأدب.
الإدخال: Inc.",Other
"قرّر إذا الإيميل المعطى يتبع قسم البروموشنز ولا السوشيال.
الإدخال:
العنوان: عندك دعوة
نص الرسالة: أهلا، نحب نضمّك لشبكتي في لينكدإن.",Legal & Administrative
"عندو قصة فيلم مفسّرة ببرشة إيموجيز. لازمك تتوقع اسم الفيلم حسب الإيموجيات.
الإدخال:🧙‍♂️🚪📚🦅⚡",Culture & Entertainment
"اخترع فكرة جديدة لسيناريو فيلم مشوّق، وحُط عنوان وملخص القصة.
الإدخال:
",Culture & Entertainment
"بدّل الضمير من المتكلّم للغايب في الجملة المعطاة مع المحافظة ع المعنى، وتنجم تصيغها بطريقة أحسن.
الإدخال:
نجمنا نزيدو في كمية المخزون لي عنا من نفس المورد عاد قللنا المخاطر لي عنا",Languages & Translation
"طبّق قواعد الكابيتاليزيشن اللي كل حرف ثاني يتبدّل بين صغير وكبير.
الإدخال:
الدليل: كل حرف ثاني يتبدّل بين lower case وupper case.
الجملة: عنكبوتا كبيرا سادا الثنية.",Languages & Translation
"أوجد تكرير حرف باستعمال مترادفات كلمات في الجملة المعطاة.
الإدخال:
رامي يلبش شابو كل نهار",Languages & Translation
"حوّل الوصف المكتوب للغة طبيعية إلى أمر في باش.
الإدخال:
اقرا اول 10 سطورا من ""ف""",Languages & Translation
"جهّز جدول يحتوي ملخّص معلومات المشاركين في المؤتمر.
الإدخال:
كان فما مؤتمر باش يناقشو كيفاش نحسّنو جودة التعليم في المدارس. المتحدّث الرئيسي هو البروفيسور كرو بيردي (cpurdie@email.com)، حكى ع أهمية وضع مقاييس عالية للطلبة والأساتذة. قال يلزم المدارس تكون أماكن ينجمو الطلبة يتعلّمو فيها ويتحدّو أرواحهم. المتحدّثين الآخرين كانو المعلّم أوليفر مالاشي (oliver@email.com) وولي الأمر كولبي ريس (kolbyreese82@email.com). المعلّم حكى ع لزوم تحضير الأساتذة مليح ولازم تكون عندهم توقّعات عالية من طلبتهم. الولي حكى ع لزوم مشاركة الأولياء في تعليم صغارهم. وكان زادة نقاش ع أهمية التمويل للمدارس.",Languages & Translation
"أعمل قائمة بالمفاهيم اللي لازم الواحد يتعلّمهم قبل ما يوصل للمفهوم المعقّد المذكور.
الإدخال: Deep Learning","Education & Studying, Technology & Digital Life"
"عاود صياغة الجملة اللي تنجّم تكون مبهمة باستعمال عبارات أوضح.
الإدخال:
الدجاجا حاضرا بش تاكل",Languages & Translation
"حلّل الانطباع متاع التغريدة المعطاة وصنّفو: إيجابي، سلبي، ولا محايد.
الإدخال:
""هاذي احسن ورقة غش ولقيتها عندي برشا.""

",Languages & Translation
"عندك أمر بلغة بايثون، حولّه للروبي.
الإدخال:
print(""Hello World!"")
",Technology & Digital Life
"عندك جملة بالمنطق من الدرجة الأولى، ترجمها للغة طبيعية.
الإدخال:
∃x∀y(soldier(x)→general(x,y))",Technology & Digital Life
"عندك عبارة بحث (سيرش) ووثيقة (دوكيومنت). صنّف الوثيقة هل هي مناسبة للبحث أو لا.
الإدخال:
البحث: علاش السما زرقا
الوثيقة: الجواب المختصر: ضوء الشمس يوصل للغلاف الجوي للأرض ويتشتت في كل الاتجاهات بفعل الغازات والجزيئات في الهواء. الضوء الأزرق يتشتت أكثر من غيره خاطر يمشي بموجات أقصر وأصغر. وهذا علاش نشوف السما زرقا أكثر الأوقات.",Education & Studying
"أعمل قائمة بعناوين فرعية للموضوع المَعطى.
الإدخال: نظرية الموسيقى
",Other
"لخّص الفيلم بطريقة شوية ""snarky"" في جملة وحدة كي تفسّرو.
الإدخال: The Shining",Other
"اكتب الكلمات اللي تستجيب للشرط المعطى.
الإدخال: 5 بلدان تبدا بحرف ""س""",Geography
"اعطِ اسم للأكلة المعطاة بالاعتماد ع المكوّنات والتعليمات.
الإدخال:
المكوّنات: 2 علب تونة (5 أونص) من Bumble Bee® Solid White Albacore، مصفّية - 1 أفوكا - 2 معالق كبار صوص سيراشا - 1 معلقة كبيرة ديجون ماستارد - 2 لـ 3 معالق كبار كرفس مقطّع - 2 معالق كبار بصل أحمر مقطّع - 2 بصل أخضر مقطّع - 1 معلقة كبيرة كسبرة خضراء مفرومة - ملح وفلفل حسب الذوق - كوبين كبار من الخضرة الورقية (ليفي قرين ليتوس) - كوب جزر مقطّع رقاق - 4 تورتيّا قمح كامل 10 إنش
التعليمات: في صحن وسط، اهرس التونة مع الأفوكا حتى يندمجوا. زيد بقية المكونات إلى الملح والفلفل، وخلّط مليح. باش تركّب اللفّة، حط في كل تورتيّا نصّ كوب خضرة ورقية، ربع كوب جزر رقاق، واقسم خلطة التونة بين اللفّات. لفّ التورتيّا بإحكام، قطّعها وتمتّع!",Food & Cooking
"لخّص اجتماع من النقاط المعطاة، وحوّلها لسرد وكأنك تحكي من منظور حاضر في الاجتماع.
الإدخال:

روز: تحلّل الداتا وتقدّم الاستنتاجات
جون: يقترح فكرة جديدة
جين: تعيّنت مسؤولة ع المشروع
توم: يحتاج وقت أكثر باش يصلّح عطل في السوفتوير",Languages & Translation
"أعمل قائمة بعض الأغاني المعروفة من الألبوم المعطى.
الإدخال: Back To Black",Culture & Entertainment
"اخترع كلمة جديدة بالاعتماد ع الوصف.
الإدخال: الإحساس إنك عارف، وإنت مازلت تعيش اللحظة، إنّو الشي اللي يصير توّة باش يبقى ذكرى خالدة.",Languages & Translation
"عندك لغة برمجة واسم دالة، اكتب أمر يوضّح كيفاش تستعمل هالدالة.
الإدخال:
اللغة: بايثون
الدالة: input",Technology & Digital Life
"قدّم إطراء لطيف بالاعتماد على الصفة المعطاة.
الإدخال: الصدق
",Greetings & Small Talk
"اكتب تقديم مختصر للريزومي بالاعتماد ع المعلومات المعطاة.
الإدخال:
الاسم: مارك
الجنسية: إيطالي
اللغة: إنقليزي
الصفات: مبدع، مركز ع الأهداف، متحفّز
المهارات: هندسة البرمجيات، التسويق بالمحتوى","Personal Development & Life Advice, Society & Current Affairs"
"أعمل قائمة بصفات تنجّم توصف العلامة التجارية المعطاة.
الإدخال: شركة ناشئة في التكنولوجيا مبدعة
",Social & Romantic Relationships
"الشخص عطاك معلومات إنه يحب يعمل رحلة عالطريق في الساحل الغربي (وست كوست). يبدأ قريب من سان دييغو وماشي للوس آنجلس. حضّرلو برنامج مع أحسن المحطّات والأنشطة في الطريق.
الإدخال: نلوج على رحلة على الساحل الغربي. الهدف هوا نبدا من سان دييغو ونسافر إلى لوس أنجلوس.

",Travel & Immigration
"الريجكس هي مجموعة حروف تحدّد نمط للبحث. حول الطلب المعطى للغة طبيعية إلى ريجكس.
الإدخال: طابق عنوان IP صالح
",Technology & Digital Life
"اكتب وصف عقار للبيع بشكل جذّاب ومهني. العنوان وبعض التفاصيل مقدّمة، كمّل بالباقي من خيالك إذا لزم.
الإدخال:
عنوان العقار: 412 مونتيري آف، كابيتولا، كاليفورنيا 95010
الباركينغ: 3 سيارات + كراج مفروش لسيارة وحدة
التفاصيل:

تصميم داخلي مفتوح
شبّاك فيه إطلالة عالبارك/الجبل
كوجينة بخزاين شاكر وكالكاتا كوارتز بيضة",Legal & Administrative
"عطاك وصف لعقار. استخرج المعلومات والتفاصيل الأساسية عليه.
الإدخال:
""امشي للبحر من كابيتولا نولز! استوديو فوق  فيه سطح خاص وكبير يشوف على الطبيعة. دار ظريفة جاهزة للسكن وتستنى لمساتك الخاصة. مناظر خضراء ومنظمة بالبستنة محيطة كيما حديقة، وفيها مسبح وجاكوزي جماعية. موقع مرغوب... تمشي على رجليك لقرية كابيتولا، مخبزة غايل، مطاعم، شوبينغ، مدارس، ولا تطلع عالأوتوستراد 1 اللي قريب برشة.""

","Legal & Administrative, Society & Current Affairs"
"راجع وصف العقار اللي قدّموه وقولنا شنوة الحاجات الباهية فيه وشنوة السلبيات، واعمل قائمة بالنقاط الرئيسية (Key Takeaways).
الإدخال:
""فمّا سحر حقيقي في الجمع بين المعمار الفكتوري الآسر بطبيعته واللمسة العصرية. زيدلها حديقة متعدّدة المستويات خارقة للعادة وتلقى النتيجة: أناقة 444 شارع29. واجهة الدار مليانة ضوء والترابط انسيابي بين الليفينغ، الدينينغ، والكوجينة. كوجينة جديدة بتوب الكوارتز وأجهزة مطوّرة. صالة الطعام كبيرة عندها شبابيك كبيرة، ومع الصالة اللي جنبها، تعطي فضاء مثالي للضيافة. زوز غرف كبيرة في المستوى هذا في الخلف، بجلاسات كبيرة وخرجة مباشرة للحديقة. حمام كامل ومتجدّد بستايل عصري في المستوى هاذا. الغرفة الثالثة/الحمام الثاني في الطابق الأرضي - ينجم يكون غرفة ضيوف، مكتب، مكان سبور، إلخ. الجنينة الكبيرة ماشية في أرض عميقة وتتزيّن بتصميم مدرّج. غرفة بلانشيري/ستوكاج، باركينغ لسيارة وحدة في كراج، ألواح شمسية من تيسلا. منطقة رئيسية ومسطّحة من نوي فالي - قريب تمشي على رجليك لكل شي في نوي. خطوات على جي-تشورش وقريب من الشتلز والأوتوسترادات.""","Society & Current Affairs, Legal & Administrative"
"أعمل قائمة بكلمات تسويق عقاري تزيد قيمة العرض وتجلب مشترين أكثر.
الإدخال:","Legal & Administrative, Society & Current Affairs"
"اقترح شوية باكيجات عادة الناس يشروهم مع المنتج المعطى.
الإدخال: ماكبوك آير
",Society & Current Affairs
"صمّم قالب في ماركداون باش تحدّد نطاق تذاكر جيرا (Jira). الأعضاء يستعملوه كقائمة تفقد باش يتأكدو إن كل المعلومات الضرورية حاضرة وقت يصنعو تذكرة.
الإدخال:",Society & Current Affairs
"في هندسة البرمجيات،قصة المستعمل هي شنو يحبّ المستخدم من النظام، والشروط القبول هي الشروط اللي لازم تتحقّق لها. كون شروط القبول مبسّطة بالاعتماد عالـقصة المستعمل المعطى.
الإدخال:
قصة المستعمل: كمستخدم، نحب نستعمل حقل بحث نكتب فيه مدينة، اسم، ولا شارع، باش نلقى خيارات نزل تناسب.",Technology & Digital Life
"الـقصة المستعمل هي تفسير عام وغير رسمي لخاصية في السوفتوير من منظور المستعمل النهائي. اكتب قصة المستعمل للبرنامج المعطى.
الإدخال: Gmail","Social & Romantic Relationships, Personal Development & Life Advice"
"اكتب تذكرة جيرا للمهمّة المعطاة.
الإدخال: موظف جديد

",Society & Current Affairs
"عاود صياغة النص بأسلوب أكاديمي.
الإدخال:
""برشة أوراق تنشرت على الموضوع هذا.""",Education & Studying
"أعمل قائمة بالحسنات والعيوب للقرار المعطى.
الإدخال: تطبيق سياسة العمل عن بعد
",Other
"اكتب ملاحظات مهمة ونقاط رئيسية حول الموضوع المعطى.
الإدخال: تاريخ الولايات المتحدة",Culture & Entertainment
"بناءً على الكلمات المفتاحية المعطاة، اكتب تقييم لمطعم.
الإدخال:
الاسم: بيتزاريا
أسعار باهية، مكان هادئ، بنين، طاقم لطيف","Food & Cooking, Society & Current Affairs"
"حوّل اللغة الطبيعية لتعليمات قيادة خطوة بخطوة .
الإدخال:
امشِ للغرب على آي-10 (I-10) حتى توصل للـ101  وبعدها خوذها للشمال. في الأخير باش تشوف علامة هوليوود قدامك.
","Personal Development & Life Advice, Travel & Immigration"
"اعطي تصنيف ESRB للعبة هذي.
الإدخال:
هذي لعبة أكشن-مغامرة وين يعاون اللاعب كريتوس وولدو في رحلة خطيرة. يستكشفو عوالم مختلفة ويقاتلو أعداء مش طبيعيين أو حقيقيين (كيما رايدرز يشبهوللإنسان وكائنات خيالية كيما السينتور، التروول، والتنين). يستعملو فؤوس وسيوف بسلاسل باش يحاربو الأعداء، غالبًا مع دم كثير وتقطيع للأعضاء. ينجم اللاعب يعمل ضربات نهائية فيها طعن من قريب بأسلحة، وضربات متعددة بالفأس على رقبة المخلوق حتى ينقص راسو. يتقالت فيها كلمات كيما ""f**k"" و""sh*t"".",Culture & Entertainment
"عندك وصف لون، لزمك تكتشف كود الـCSS اللي يقابل اللون هاذا.
الإدخال: لون أحمر فاتح مع درجة متوسطة فاتحة من الوردي",Technology & Digital Life
"عرّف الأخطاء الموجودة في الكود المعطى وصلّحها، وبعد أعد كتابتو.
الإدخال:
for i in range(10) print(Answer is:) print(i)",Technology & Digital Life
"أعمل ليستل بعبارات شائعة للقسم المحدّد من الورقة.
الإدخال: مقدّمة",Education & Studying
"احنا وصّفنا مشهد من فيلم شفناه قبل. اكتشف شنوة هو الفيلم.
الإدخال:
يلزمك تختار بين حبة حمرا ولا حبة زرقا",Culture & Entertainment
"خذ وصف المنتج واكتبلو اعلان إبداعي.
الإدخال:
كاميرات الوثائق تخلي المعلّمين يورّيو وثائق، كتب، ولا حاجات للطلبة باش يشوفوها",Culture & Entertainment
"حوّل الوصف المكتوب بلغة طبيعية إلى معادلة في غوغل شيتس.
الإدخال:
اذا كانت خلية C7 تساوي ""امريكا"" ولا ""كندا"" ولا ""اوروبا"" ولا ""الأميركاز""","Education & Studying, Technology & Digital Life"
"عندك تغريدة، قرّر إذا هي مهينة ولا لا.
الإدخال:
هي بلحق خذات شوية هجوم خاطرها بصراحة … اممم بهيما",Society & Current Affairs
"باش تعمل تمارين سريعة في البيرو، اقترح روتين قصير ونافع.
الإدخال:",Health & Body
"توقّع قداش صاحب الريفيو باش يعطي من نجوم للمطعم بالاعتماد عالتعليق.
الإدخال:
""التقييمات كانت هايلة، اما الصراحة حسّيتو عادي برشة. يبان بلاصة سياحية عادية والماكلة نص نص. الخدمة اوكي، موش هايلة اما موش الاسوأ. الخبز كان بنين برشة. طلبت مسّلز فرايز، كان فيهم طعم بصل فيداليا حلو. ما فيش فايدة من الفرايز خاترهم طراو وما فيهمش مذاق. صاحبي طلب باستا دجاج بالبيستو وزادا كانت نص نص.""",Other
"صنّف الخدمة هذي: مطعم، خدمات منزلية، خدمات سيارات، ولا متفرقات، بالاعتماد عالتخصص الموصوف.
الإدخال:
""اتصل بينا عالرقم 650-636-4884 ولا زور موقعنا باش تاخذ تسعيرة. المحل هذا مختص في كفرات جديدة وتصليح عام للسيارات. عنا كل انواع الكفرات في المحل وعنا مجموعة واسعة لكل الميزانيات وانواع السيارات. اذا ماكش عارف شنوة يلزمك، فمة خبراء حاضرين يعاونوك تختار الكفر اللي يناسبك. زادا عنا كفرات للمركبات التجارية ونخدمو اساطيل مختلفة.""
",Social & Romantic Relationships
"قلّي اقتراحاتك باش النص يولّي صحيح لغويًا اكثر.
الإدخال:
""هذي المرة الثانية اللي نجي فيها هنا، والجو العام، والماكلة كانو رائعين.""",Languages & Translation
"باستعمال المكوّنات المتوفرة، حضّر وصفة عشاء.
الإدخال:
""كالي + زبدة اللوز + خل تفاح + نيكتار الاغاف + تاماري""",Food & Cooking
"صنّف المنتج المذکور: إلكترونيات، كومبيوترات، منزل ذكي، ولا فنون وحرف.
الإدخال: ""غوغل نيست لورنينغ ثيرموستات""
",Technology & Digital Life
"قدّم تعليمات للتمرين المعطى.
الإدخال: ""رفع الساقين""",Education & Studying
"عاود كتابة النص وعدّل الأخطاء الإملائية.
الإدخال:
""هو يحل مشاكل عامة وفريدة لكل فريق.""",Languages & Translation
"اكتب اضداد للكلمة المعطاة.
الإدخال: ""يتوّج""
",Languages & Translation
"اكتب صيغة اتش تي ام ال للعملية المطلوبة.
الإدخال: ""اضافة صورة للصفحة""",Technology & Digital Life
"حدّد شنوّا هي لغة البرمجة اللي مكتوب بيها الكود.
الإدخال:
if (20 > 18) { printf(""20 is greater than 18""); }",Technology & Digital Life
"قرّر نوع الكلمة المأكّد عليها في الجملة.
الإدخال:
""المدرسة باش _تواصل خلال الشتاء""",Languages & Translation
"فسّر شنوة تعني الكلمة المأكّد عليها للصغار.
الإدخال:
""_حافظ على الوعد""
",Languages & Translation
"طوّل الجملة المعطاة وزيدلها تفاصيل.
الإدخال:
""غيّرتلي حياتي.""
",Languages & Translation
"استخرج عنوان العقار من قسم ""حول هالمكان"" في اير بي ان بي.
الإدخال:
""مخبّي في مرتفعات مدينة تعدين قديمة اسمها غراس فالي في كاليفورنيا، الشاليه هذا واسع وعجيب، يدعوك تعيش الطبيعة مع العايلة، الاصحاب والحيوانات. تمتع بالجاكوزي، ملعب الباسكت، دار فوق الشجرة، غرفة صغار، باربيكيو، مكان للنار، سينما برا، وزيد. ساعة من طااهو وعشر دقائق للمدينة، ديما عندك اماكن جديدة تستكشفها.""",Legal & Administrative
"صمّم تحدي تدريبي بسيط في سترافا ينجمو كل الناس يشاركو فيه.
الإدخال:
",Personal Development & Life Advice
"اقترح شوية اسماء لجروب ودّي في تيلغرام.
الإدخال:",Technology & Digital Life
"اكتب طريقة نطق الكلمة المعطاة بنظام ""قاموس نطق غوغل"".
الإدخال: ""interpretations",Languages & Translation
"اشرح معنى العبارة هذي بطريقة بسيطة، واذا تحب اعطي مثال.
الإدخال:
""مع شوية ليونة فيهم""",Languages & Translation
